লেখক	বিষয়	পত্রাঙ্ক
	কথাপ্রসঙ্গে	৪৪৯
পণ্ডিত-শ্রীক্ষীরোদপ্রসাদ বিদ্যাবিনোদ এম, এ	অভিরামের গীতি	৪৫৩
	কবিবর ক্ষীরোদপ্রসাদ	৪৫৫
শ্রীযোগেন্দ্রনাথ শর্ম্মা	দর্শন-শাখার সভাপতির অভিভাষণ	৪৬১
বাসুদেবানন্দ	সভ্যতায় বর্ব্বরতার বীজ	৪৭০
শ্রীখগেন্দ্রনাথ শিকদার, এম্‌ এ	অভ্যর্থনা সমিতির সভাপতির অভিভাষণ	৪৭৫
বাসুদেবানন্দ	শংকর ও কণাদ	৪৮২
স্বামী নির্লেপানন্দ	জাগ্রত	৪৮৯
শ্রীভুজঙ্গধর রায়চৌধুরী	বরষার ইন্দ্রজাল	৪৯৫
নিঃসঙ্গানন্দ	সরল বেদান্ত	৪৯৬
শ্রীবলাই দেবশর্ম্মা	সংস্কারক বিবেকানন্দ	৫০১
শ্রীদুর্গাপদ মিত্র	শ্রীশ্রীনাগ মহাশয়	৫০৬
	মাধুকরী	৫১১
