লেখক	বিষয়	পত্রাঙ্ক
	স্বামী তুরীয়ানন্দের অপ্রকাশিত পত্র	৯৭১
শ্রীহরিপদ ঘোষাল, বিদ্যাবিনোদ, এম এ	মিথ	৯৭৩
স্বামী বিবেকানন্দের সাধনা	ভাব-ধারা	৯৭৫
শ্রীবিভুপ্রসাদ বসু, এম-এ	সাহিত্যে বাস্তবতা	৯৮০
শ্রীরমণীকুমার দত্তগুপ্ত, বি-এল	সাধু খৃষ্টোফেরাস্‌	৯৮৪
শ্রীনলিনীমোহন সাহা	অজ্ঞান বা মায়া	৯৮৮
শ্রীঅভীশ্বর সেন, বি-এস্‌ সি	বাতাসের অক্সিজেন	৯৮৯
স্বামী দুর্গাত্মানন্দ	বাঙালীর সিংহল বিজয়	৯৯১
স্বামী সম্বুদ্ধানন্দ	শ্রীরামকৃষ্ণ মানব কি অতিমানব?	৯৯৪
শ্রীত্রিভঙ্গমুরারি রায়	পুরীতে তিনটি সন্ধ্যা	৯৯৭
শ্রীজিতেন্দ্রনাথ সরকার	জাগ্রত জাপান	১০০২
শ্রীদুর্গাপদ মিত্র, এম্‌-এ, বি-এস্‌-সি, বি-এল	নাগ মহাশয় ও স্বামী সারদানন্দ	১০০৫
শ্রীবলাই দেবশর্ম্মা	মহাভারতীয় সভ্যতা	১০০৬
শ্রীচণ্ডীচরণ চক্রবর্ত্তী	সন্ধানে	১০০৯
শ্রীবিজয়গোপাল বিশ্বাস	ধারা	১০১০
শ্রীদেবেন্দ্রনাথ চট্টোপাধ্যায়, কাব্যতীর্থ, বি-এ	ধর্ম্ম ও জাতীয়তা	১০১৩
	সমালোচনা	১০১৫
	শ্রীরামকৃষ্ণ-সঙ্ঘ বার্ত্তা	১০১৭
	স্বামী ধীরানন্দ মহারাজ	১০১৯
	কৃষ্ণকুমার মিত্র	১০১৯
	শ্রীরামকৃষ্ণ-শতবার্ষিকী সংবাদ	১০২০
