লেখক	বিষয়	পত্রাঙ্ক
পরমহংস পরিব্রাজকাচার্য্য মন্ডলেশ্বর শ্রীমৎ স্বামী কৃষ্ণানন্দ	শ্রীরামকৃষ্ণ পরমহংস	৫৭
অধ্যাপক শ্রীবিমানবিহারী মজুমদার, এম-এ, পি-আর-এস,পি-এইচ্‌-ডি,ভাগবতরত্ন	উড়িয়া ভক্তদের মুখে শ্রীচৈতন্য-কথা	৬০
শ্রীপ্রমথনাথ চৌধুরী	অর্ঘ্যাঞ্জলি	৬৪
স্বামী সুন্দরানন্দ	হিন্দু-মুসলমান-সমস্যার সমাধানে স্বামী বিবেকানন্দ	৬৬
শ্রীবিধুশেখর ভট্টাচার্য	গৌড়পাদ	৭২
অধ্যাপক শ্রীহরিশচন্দ্র শাস্ত্রী,সংস্কৃত কলেজ, কলিকাতা	ত্রিক-দর্শন	৭৭
স্বামী প্রেমঘনানন্দ	স্বামীজীর বাংলা রচনা	৮৩
	চিত্রকূট	৮৯
শ্রীদেবেন্দ্রনাথ চট্টোপাধ্যায়,কাব্যতীর্থ, বি-এ	হোলি-উৎসব	৯৩
অহিভূষণ দে চৌধুরী	বাঁধনে মুক্তি দেখা	৯৫
	মাধুকরী	১০০
	পরলোকে	১০২
	সংবাদ	১০৬
