লেখক	বিষয়	পত্রাঙ্ক
অধ্যাপক শ্রীসুরেন্দ্রনাথ ভট্টাচার্য্য	শ্রুতি ও যুক্তি	১১৩
স্বামী সুন্দরানন্দ	অদ্বৈত ও সন্ন্যাস	১১৮
অধ্যাপক শ্রীবিমানবিহারী মজুমদার, এম-এ, পি-আর-এস,পি-এইচ্‌-ডি,ভাগবতরত্ন	উড়িয়া ভক্তদের মুখে শ্রীচৈতন্য-কথা	১২৩
	স্বামী জ্ঞানেশ্বরানন্দের পত্র	১২৮
অধ্যাপক শ্রীশম্ভুনাথ রায়,এম-এ	ভ্রান্তি	১৩০
জনৈক ভক্ত	খোকা মহারাজের কথা	১৩৩
অধ্যাপক শ্রীনগেন্দ্রনাথ চক্রবর্তী,এম-এ	সাহিত্যে করুণ-রস	১৩৮
ব্রহ্মচারী বীরেশ্বর চৈতন্য	বিরাটের আবিষ্কার-বিজ্ঞানে ও ধর্ম্মে	১৪১
শ্রীদ্বিজেন্দ্রকুমার প্রামাণিক	বর্তমান সমস্যা ও স্বামী বিবেকানন্দ	১৪৭
শ্রীরণজিৎকুমার মুখোপাধ্যায়	অভিমান	১৫২
	চিত্রকূট	১৫৩
শ্রীসুরেন্দ্রনাথ চক্রবর্ত্তী,এম-এ	আমাদের গোল কোথায়?	১৫৭
অনুবাদক পন্ডিত শ্রীদুর্গাচরণ চট্টোপাধ্যায়	পঞ্চদশী	১৫৯
	শ্রীগৌরীমাতার মহাপ্রয়াণ	১৬২
	সমালোচনা	১৬৩
	সংবাদ		১৬৫
