লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	তাওধর্ম্মের রহস্য	৩৩৭
শ্রীহরিদাস বন্দ্যোপাধ্যায়,এম-এ	দেকার্টের সংশয়	৩৪১
স্বামী ত্যাগীশ্বরানন্দ	শ্রীরামকৃষ্ণ-মন্দির	৩৪৫
স্বামী অপুর্ব্বানন্দ	শ্রীমৎ স্বামী বিজ্ঞানানন্দ অনুধ্যানে	৩৪৬
শ্রীহরদয়াল নাগ	অস্পৃশ্যতা	৩৫৪
শ্রীদ্বিজেন্দ্রনাথ ভাদুঢ়ী, কবিরত্ন, বি-এ	সত্যবীর	৩৬১
পন্ডিত শ্রীরাজেন্দ্রনাথ ঘোষ	আমরা আর কতদিন	৩৬১
অধ্যাপক শ্রীদয়াময় মিত্র,এম-এ	বঙ্কিম-শতবার্ষিকী	৩৬৮
বিমল দাস	দেবতা	৩৭০
স্বামী প্রশান্তানন্দ	সেবা	৩৭১
	হরিদ্বারে পুর্ণকুম্ভ	৩৭৬
অনুবাদক পন্ডিত শ্রীদুর্গাচরণ চট্টোপাধ্যায়	পঞ্চদশী	৩৮১
	পরলোকে কালীপদ বন্দ্যোপাধ্যায়	৩৮৫
	সংবাদ	৩৮৫
	রামকৃষ্ণ মিশন দাতব্য চিকিৎসালয়, বেলুড়	৩৯১
