লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	তাওধর্ম্ম	২২৫
অধ্যাপক শ্রীঅক্ষয় কুমার বন্দ্যোপাধ্যায়, এম্‌-এ	"যত মত তত পথ"	২২৯
শ্রীদিলীপ কুমার রায়	চৈত্রসংক্রান্তি	২৩৬
শ্রীগিরিজাশঙ্কর রায়চৌধুরী	শ্রীঅরবিন্দ	২৩৮
অধ্যাপক শ্রীসুবর্ণ কমল রায়, এম্‌-এস্‌সি	অচেনা ধাতুর পরিচয়	২৫০
শ্রীকুমুদবন্ধু সেন	সমাজ-ধর্ম্ম	২৫৪
স্বামী নির্লেপানন্দ	স্বামীজীর স্মৃতিসঞ্চয়ন	২৫৭
স্বামী অপূর্বানন্দ	কৈলাস ও মানস-সরোবর	২৬২
শ্রীদেবব্রত রায় চৌধুরী	অলকানন্দা	২৬৮
অনুবাদক পন্ডিত শ্রীদুর্গাচরণ চট্টোপাধ্যায়	পঞ্চদশী	২৭০
	শ্রীরামকৃষ্ণ মঠ ও মিশন-সংবাদ	২৭২
	বিবিধ সংবাদ	২৭৮
