লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	বোধিসত্ত্ব	৫৭৭
শ্রীসাবিত্রীপ্রসন্ন চট্টোপাধ্যায়	এও কি তোমার লীলা?	৫৮০
অধ্যাপক শ্রীবিমানবিহারী মজুমদার, এম্‌-এ, পি-আর্‌-এস্‌, পি-এইচ্‌-ডি	গোপীগীতা	৫৮১
শ্রীসুরেন্দ্রনাথ সেন	তন্ত্রের প্রাচীনত্ব	৫৮৫
শ্রীভরদ্বাজ	মধ্যবিত্তের বেকার-সমস্যা	৫৯৩
শ্রীমতী অপর্ণা দেবী	ধুতুরা	৬০০
শ্রীগিরিজাশঙ্কর রায় চৌধুরী	শ্রীঅরবিন্দ	৬০১
শ্রীকুমুদবন্ধু সেন	কৃষক ও শ্রমিক	৬০৭
অধ্যাপক শ্রীপ্রিয়রঞ্জন সেন, এম্‌-এ, পি-আর্‌-এস্‌	অনন্তের সুরে	৬১২
অধ্যাপক শ্রীসুবর্ণকমল রায়, এম্‌-এস্‌সি	কতিপয় রাসায়নিক সম্ভার	৬১৫
শ্রীমতী চারুশীলা দেবী	স্বামী পরমানন্দ স্মরণে	৬১৮
স্বামী অপূর্বানন্দ	কৈলাস ও মানস সরোবর	৬২৪
	সমালোচনা	৬২৯
	শ্রীরামকৃষ্ণ মথ ও মিশন-সংবাদ	৬৩১
	বিবিধ সংবাদ	৬৩১
	মেদিনীপুর বন্যা-সেবাকার্য্য	৬৩২
