লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	শ্রীগোবিন্দভাষ্য	২৮১
স্বামী সত্যাত্মানন্দ	মান্দ্রাজ মঠে স্বামী বিজ্ঞানানন্দ	২৮৫
অরবিন্দ ভট্টাচার্য্য	স্বামী বিবেকানন্দ	২৮৮
শ্রীগিরিজাশঙ্কর রায় চৌধুরী	শ্রীঅরবিন্দ	২৮৯
অধ্যাপক শ্রীঅশোকনাথ শাস্ত্রী	বেদান্ত-সম্প্রদায়স্মূহে জগৎকারণবাদ	২৯৮
শ্রীরামগোপাল চট্টোপাধ্যায়	সরিষার তৈল ও তাহার ভেজাল	৩০৫
স্বামী দুর্গাত্মানন্দ	বিরোধ	৩০৯
স্বামী নির্লেপানন্দ	স্বামীজীর স্মৃতিসঞ্চয়ন	৩১০
অধ্যাপক শ্রীপ্রিয়রঞ্জন সেন, এম্‌-এ, পি-আর-এস্‌	অনন্তের সুরে	৩১৭
স্বামী অপূর্বানন্দ	কৈলাস ও মানস সরোবর	৩২১
	সমালোচনা	৩২৮
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	৩৩১
	বিবিধ সংবাদ	৩৩৫
	রামকৃষ্ণ মিশন ঝটিকা সেবাকার্য্য	৩৩৬
