লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	'উদ্বোধনে'র নববর্ষ	৩
শ্রীযতীন্দ্রনাথ দাস	রামকৃষ্ণ	৬
অধ্যাপক শ্রীঅনন্তকুমার ন্যায়-তর্কতীর্থ	ব্রহ্মলক্ষণবিচার	৭
অধ্যাপক শ্রীদিনেশ্চন্দ্র গুহ, এম্‌-এ, কাব্য-ন্যায়-তর্ক-বেদান্ততীর্থ	বিদেহমুক্তি	১২
শ্রীকালিদাস রায়	জীবন-মরণ	১৫
স্বামী শিবশরণ পুরী	কাশ্মীরের ব্রহ্মবিদুষী লাল্লেশ্বরী	১৬
শ্রীপ্রফুল্ল কুমার গুহ ঠাকুরতা	নিরন্ন বাঙ্গালী	২৩
শ্রীগিরিজাশঙ্কর রায়চৌধুরী	শ্রীঅরবিন্দ	২৪
শ্রীদেবেন্দ্রনাথ সেন	নবযুগ	৩১
শ্রীমহেন্দ্রনাথ সরকার	তন্ত্রালোক	৩২
শ্রীহরেশ্চন্দ্র পাল, এম-এ	প্রায়শ্চিত্ত	৩৩
শ্রীমতী সরলাবালা সরকার	এক সেই	৩৬
শ্রীপশুপতি ভট্টাচার্য্য, বি-এ, কাব্যতীর্থ	মহাভারতের উপেক্ষিত বীর	৩৭
অধ্যাপক শ্রীসুধাংশুবিমল মুখোপাধ্যায়	দেশপ্রেমিক রবীন্দ্রনাথ	৪১
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	৪৫
	বিবিধ সংবাদ	৪৮
