লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	শ্রীবুদ্ধ	১৪৫
অধ্যাপক শ্রীশীতাংশু শেখর বাগছি, এম-এ্‌, বি-এল্‌,সাংখ্যতীর্থ	ন্যায়দর্শনে তর্কের স্বরূপ	১৪৮
শ্রীউমাপদ নাথ, বি-এ	বোধি	১৫০
শ্রীমতিলাল রায়	শ্রীরামকৃষ্ণতীর্থে	১৫১
শ্রীসুরেশ্চন্দ্র নাথ মজুমদার	যোগেশ্বর মীননাথ	১৫৫
শ্রীচিত্তরঞ্জন চক্রবর্ত্তী	'মনে হয় পান্থ আমি ধরণীর এই পান্থশালে'	১৫৭
শ্রীমহেন্দ্রনাথ সরকার	তন্ত্রালোক	১৫৮
অধ্যাপক শ্রীঅনন্ত কুমার ন্যায়-তর্কতীর্থ	ব্রহ্মলক্ষণবিচার	১৬০
শ্রীসত্যনারায়ণ ঘোষ	বিবেকানন্দ	১৬৪
স্বামী জগন্নাথানন্দ	শ্রীম-কথা	১৬৫
শ্রীযোগানন্দ ব্রহ্মচারী	ভগবান বুদ্ধ	১৬৮
শ্রীগিরিজাশঙ্কর রায়চৌধুরী	শ্রীঅরবিন্দ	১৭৪
শ্রীমতী সরোজিনীপ্রভা বসু	'তোমার চরণে রাখিও'	১৮০
শ্রীরমণী কুমার দত্তগুপ্ত, বি-এল্‌	ভগবান বুদ্ধের করুণা	১৮১
শ্রীযতীন্দ্রনাথ দাস	ত্রিলোচন	১৬৪
	সমালোচনা	১৬৫
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	১৮৬
	নবপ্রকাশিত পুস্তক	১৮৮
	বিবিধ সংবাদ	১৮৯
	বাংলায় রামকৃষ্ণ-মিশনের দুঃস্থ-সেবাকার্য	১৯২
