লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	কাশ্মীরী শৈবাগম ও শাক্তাগম	৪৪৯
	স্বামী বিবেকানন্দের অপ্রকাশিত পত্র	৪৫৩
কবিশেখর শ্রীকালিদাস রায়,বি-এ	সার্ব্বজনীন পূজা	৪৫৬
স্বামী সুন্দরানন্দ	হিন্দু-সংস্কৃতির স্বরূপ	৪৫৭
ডক্টর শ্রীরমা চৌধুরী	ভারতীয় দর্শনের মূল কথা	৪৬০
শ্রীকুমুদরঞ্জন মল্লিক, বি-এ	বিপদ	৪৬৪
মৌলবী রেজাউল করীম, এম্‌-এ, বি-এল্‌	বিশ্ব-সমস্যায় ভারতবর্ষ	৪৬৫
ক্যাপ্টেন্‌ রামেন্দু দত্ত	বিশ্ব-ব্রহ্মাণ্ড কি "স্বয়ংভু" ও "বে-ওয়ারিশ"?	৪৬৯
স্বামী শ্রদ্ধানন্দ	কৃতজ্ঞতা	৪৭২
অধ্যাপক শ্রীতারাপ্রসাদ চট্টোপাধ্যায়, এম্‌-এস্‌সি	কস্‌মিক্‌ রশ্মি	৪৭৩
ডক্টর শ্রীযতীন্দ্রবিমল চৌধুরী	কালিদাস	৪৭৬
শ্রীপুর্ণেন্দু গুহরায়, কাব্য-শ্রী	'আমায় দিয়ো গো দিয়ো'	৪৭৯
অধ্যাপক শ্রীপ্রিয়রঞ্জন সেন, এম্‌-এ, পি-আর-এস্‌	ধর্ম ও জীবন	৪৮০
শ্রীপ্রণব ঘোষ	জাহাজ	৪৮২
অধ্যাপক শ্রীসুবর্ণকমল রায়, এম্‌-এস্‌সি	জার্ম্মান রসায়নী উলার	৪৮৩
শ্রীরমণীকুমার দত্তগুপ্ত, বি-এল্‌, সাহিত্যরত্ন	বৈদিক ভারতের বিচার-কার্য ও আইন	৪৯০
অধ্যাপক শ্রীসুরেন্দ্রমোহন পঞ্চতীর্থ, এম্‌-এ	ধর্ম্ম	৪৯২
শ্রী—	বিজয়া	৪৯৭
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	৪৯৯
	বিবিধ সংবাদ	৫০১
	শ্রীরামকৃষ্ণদেবের জন্মস্থানে স্মৃতি-মন্দির নির্ম্মাণ-কার্য্যে সাহাজ্যের জন্য আবেদন	৫০৪
