লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	১৪৫
	কথাপ্রসঙ্গে	১৪৬
স্বামী ধীরেশানন্দ	'শ্রাবয়েৎ চতুরো বর্ণান্‌'	১৪৯
শ্রীঅমূলপদ চট্টোপাধ্যায়	নির্গুণব্রহ্ম ও ঈশ্বর	১৫৫
শ্রীসমরেন্দ্র নাথ মিত্র	'ধর্মপ্রসঙ্গে স্বামী ব্রহ্মানন্দ'	১৫৯
ডক্টর সচ্চিদানন্দ ধর	যাত্রা মোর শেষ করে দাও		১৬১
শ্রীপ্রফুল্লচন্দ্র কর	শ্রীরামকৃষ্ণভক্ত প্রমদাদাস মিত্র	১৬২
	চারণ কবি বিজয়লালের অপ্রকাশিত পত্র ও কবিতা	১৬৫
ডক্টর সত্যপ্রকাশ দে	অদৃশ্য জগতের রহস্য	১৬৬
স্বামী চণ্ডিকানন্দ	শঙ্কর-বন্দনা	১৭২
স্বামী প্রভানন্দ	শ্রীরামকৃষ্ণের সর্বধর্মসমন্বয়	১৭৩
	সমালোচনা	১৮১
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	১৮২
	বিবিধ সংবাদ	১৮৪
	উদ্বোধন, ১ম বর্ষ, ১০ম সংখ্যা	১৮৫
স্বামী বিবেকানন্দ	ভাব্‌বার কথা	১৮৫
পণ্ডিতবর প্রমথনাথ তর্কভূষণানুবাদিত	ভগবদ্‌গীতা শাঙ্করভাষ্যের বঙ্গানুবাদ	১৮৫
পণ্ডিত প্রমথনাথ তর্কভূষণানুবাদিতম	শারীরিক্সুত্র রামানুজ ভাষ্যম	১৮৬
	মুর্ষিদাবাদ অনাথ-আশ্রম	১৮৬
	রামকৃষ্ণ মিশন হইতে কলিকাতায় প্লেগকার্য্য	১৮৭
	উদ্বোধন, ১ম বর্ষ, ১১শ সংখ্যা	১৮৮
কবিবর গিরীশচন্দ্র ঘোষ	গোবরা	১৮৮
