লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	২৪১
	কথাপ্রসঙ্গে	২৪২
শ্রীদিলীপকুমার রায়	নামমাদুলি	২৪৪
স্বামী বীরেশ্বরানন্দ	রামকৃষ্ণ-বিবেকানন্দের বাণী	২৪৫
শ্রীধনেশ মহলানবীশ	তেন ত্যক্তেন ভুঞ্জীথাঃ	২৪৮
স্বামী সারদেশানন্দ	শ্রীশ্রীমায়ের স্মৃতিকথা	২৪৯
স্বামী প্রভানন্দ	কাশীপুরে শ্রীরামকৃষ্ণ	২৫৪
শ্রীপ্রসিত রায় চৌধুরী	আদিগঙ্গা ও শ্রীচৈতন্য	২৬৮
শ্রীমতী প্রীতিময়ী কর, ভারতী	এই সেই শুভযোগ	২৬৯
শিবদাস	ভারতের প্রথম পারমাণবিক বিস্ফোরণ	২৭০
	সমালোচনা	২৭২
	রামকৃষ্ণ মঠ ও মিশন সংবাদ	২৭৪
	বিবিধ সংবাদ	২৭৮
	উদ্বোধন, ১ম বর্ষ, ১১শ সংখ্যা	২৮১
পণ্ডিত রজনীকান্ত বিদ্যারত্নকর্ত্তৃক অনুবাদিত	মহাভাষ্যম	২৮১
	উদ্বোধন, ১ম বর্ষ, ১২শ সংখ্যা	২৮৪
স্বামী রামকৃষ্ণানন্দ লিখিত	শ্রীরামানুজচরিত	২৮৪
কবিবর গিরীশচন্দ্র ঘোষ লিখিত	ঝালোয়ার দুহিতা	২৮৪
বাবু কিরণচন্দ্র দত্ত লিখিত	কারিষ্ট	২৮৭
