লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	২৮৯
	কথাপ্রসঙ্গে	২৯০
স্বামী সারদেশানন্দ	শ্রীশ্রীমায়ের স্মৃতিকথা	২৯৪
	স্বামী অখণ্ডানন্দের অপ্রকাশিত পত্র	২৯৮
স্বামী প্রভানন্দ	কাশীপুরে শ্রীরামকৃষ্ণ	২৯৯
শ্রীসুরেন্দ্রনাথ চক্রবর্তী	শ্রীরামকৃষ্ণ-লীলাঙ্গনে ঃ শ্রীমৎ তোতাপুরী	৩০৮
শ্রীমতী অঞ্জলি ঘোষ	প্রাণপ্রতিম	৩১২
শ্রীজয়দেব হাজরা চৌধুরী	ঋগ্বেদীয় দেবদেবী	৩১৩
শ্রীমতী বাসন্তী মণ্ডল	প্রার্থনা	৩১৪
শ্রীবীরেন্দ্রচন্দ্র সরকার	মহর্ষি দুর্বাসা	৩১৫
অধ্যাপক শ্রীশিবশম্ভু সরকার	সাবিত্রী মন্ত্র	৩২০
ডক্টর কৃষ্ণকান্ত চট্টোপাধ্যায়	ভারতের অধ্যাত্মবাদ তথা সনাতনধর্ম	৩২১
	চারণকবি বিজয়লালের অপ্রকাশিত কবিতা	৩২৩
ডক্টর ক্ষেত্রপ্রসাদ সেনশর্মা	আচার্য সত্যেন্দ্রনাথ স্মরণে	৩২৪
স্বামী চণ্ডিকানন্দ	শ্রীরামকৃষ্ণ-সংগীত	৩২৯
	আবেদন ঃ বলরাম মন্দির	৩৩০
	সমালোচনা	৩৩২
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	৩৩৩
	বিবিধ সংবাদ	৩৩৫
