লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	৪৫৭
	কথাপ্রসঙ্গে	৪৫৮
ফুলরাণী সেন	হে প্রভু	৪৬২
	স্বামী শিবানন্দের অপ্রকাশিত পত্র	৪৬৩
	স্বামী তুরীয়ানন্দের অপ্রকাশিত পত্র	৪৬৫
স্বামী সারদেশানন্দ	শ্রীশ্রীমায়ের স্মৃতিকথা	৪৬৬
স্বামী নিরাময়ানন্দ	সমুদ্রের উপকূলে	৪৬৯
অধ্যাপক শ্রীগোপেন্দু মুখোপাধ্যায়	আমরা মা তোর অধম তনয়	৪৭২
স্বামী প্রভানন্দ	কাশীপুরে শ্রীরামকৃষ্ণ	৪৭৩
শ্রীঅসীম কুমার মুখোপাধ্যায়	যদি আমায়	৪৭৯
স্বামী কৃপানন্দ	রাসলীলা	৪৮০
শ্রীসূর্যকান্ত মাহাতো	দাও মোরে তুমি দেখা	৪৮২
শ্রীসুধাংশু শেখর কুণ্ডু	ভারতীয় দর্শনে দুঃখবাদ	৪৮৩
শ্রীসূর্যকান্ত মাহাতো	দাও মোরে তুমি দেখা	৪৮৬
শ্রীঅশোক সেন	নেপালের একটি উৎসব	৪৮৭
স্বামী তথাগতানন্দ	ধীরমাতা	৪৮৯
শ্রীমতী জ্যোতির্ময়ী দেবী	ঔপনিষদ অমৃত	৪৯৪
শ্রীঅজিত কুমার চট্টোপাধ্যায়	গানযোগ	৪৯৫
	সমালোচনা	৪৯৯
	রামকৃষ্ণ মঠ ও মিশন সংবাদ	৫০১
	বিবিধ সংবাদ	৫০৩
