লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	৫০৫
	কথাপ্রসঙ্গে	৫০৬
	স্বামী শিবানন্দের অপ্রকাশিত পত্র	৫১৬
	স্বামী প্রেমানন্দের অপ্রকাশিত পত্র	৫১৭
	স্বামী সুবোধানন্দের অপ্রকাশিত পত্র	৫১৮
স্বামী সারদেশানন্দ	শ্রীশ্রীমায়ের স্মৃতিকথা	৫১৯
স্বামী প্রভানন্দ	কাশীপুরে শ্রীরামকৃষ্ণ	৫২২
শ্রীঅমূলপদ চট্টোপাধ্যায়	হিন্দুর বর্ণবিভাগ গুণগত কি বংশগত?	৫২৯
অধ্যাপক শ্রীপ্রফুল্লকুমার দাস	মাতৃভাবসাধনা ও শিবনাথ শাস্ত্রী	৫৩৪
অধ্যাপক শ্রীসন্তোষকুমার চট্টোপাধ্যায়	স্বামী বিজ্ঞানানন্দ অনুধ্যান	৫৩৭
শ্রীশেফালিকা দেবী	বিশ্বামিত্রের সাধনা	৫৪০
ডক্টর জলধি কুমার সরকার	অবতারপুরুষ যীশু	৫৪৪
শ্রীবিমলচন্দ্র ঘোষ	অভীক চেতনা	৫৪৭
	সমালোচনা	৫৪৮
	রামকৃষ্ণ মঠ ও মিশন সংবাদ	৫৪৯
	বিবিধ সংবাদ	৫৫২
