লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	৫৫৩
	কথাপ্রসঙ্গে	৫৫৪
	স্বামী সারদানন্দের অপ্রকাশিত পত্র	৫৬০
স্বামী সারদেশানন্দ	শ্রীশ্রীমায়ের স্মৃতিকথা	৫৬৪
স্বামী জীবানন্দ	শ্রীশ্রীমাতৃস্তুতিঃ	৫৬৮
স্বামী প্রভানন্দ	কাশীপুরে শ্রীরামকৃষ্ণ	৫৬৯
শ্রীরাসমোহন চক্রবর্তী	শ্রীশ্রীষোড়শী মহাবিদ্যা	৫৭৬
ডক্টর জলধি কুমার সরকার	অবতারপুরুষ যীশু	৫৮১
শ্রীনীলকণ্ঠ মুখোপাধ্যায়, সিদ্ধান্তশাস্ত্রী	এসো নারায়ণ	৫৮৫
শ্রীধনেশ মহলানবীশ	জগজ্জননী	৫৮৫
অধ্যাপিকা শ্রীমতী বেলা দত্তগুপ্ত	'মির'	৫৮৬
শ্রীমতী সুজাতা প্রিয়ংবদা	সূর্য-প্রণাম	৫৮৬
শ্রীমতী সুচরিতা সেনগুপ্তা	শ্রীশ্রীসারদামণি-চর্চা	৫৮৭
শ্রী এন. এন. ওয়াঞ্চু	মানবসেবাই ঈশ্বরোপাসনা	৫৮৯
শ্রীসুনীল কুমার দত্ত	জীবন ও কর্ম	৫৯১
	সমালোচনা	৫৯৩
	রামকৃষ্ণ মঠ ও মিশন সংবাদ	৫৯৬
	বিবিধ সংবাদ	৫৯৯
