লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	২৫৭
	কথাপ্রসঙ্গে	২৫৮
স্বামী বীরেশ্বরানন্দ	আদর্শ শিক্ষাব্যবস্থা	২৬১
শ্রীনীলকণ্ঠ মুখোপাধ্যায়	এসো প্রাণে	২৬৪
শ্রীমতী মানসী বরাট	সবাই রাজা	২৬৪
ডক্টর জলধিকুমার সরকার	বাত	২৬৫
ডক্টর রমা চৌধুরী	দশ বেদান্ত-সম্প্রদায়	২৬৮
স্বামী পুরাণানন্দ	বেদান্তপ্রচারে 'রামচরিতমানস'	২৭০
স্বামী বুধানন্দ	শ্রীরামকৃষ্ণ-বিভাসিতা মা সারদা	২৭৩
শ্রীধ্রুবকুমার মুখোপাধ্যায়	পূর্ণাঙ্গ ভারতীয় আদর্শ	২৮০
শ্রীবিশ্বনাথ চট্টোপাধ্যায়	বিবেকানন্দ ও মানুষের ধর্ম	২৮২
ডক্টর তারকনাথ ঘোষ	ঋষিকৃষ্ণ-আখ্যায়িকা	২৮৬
	সমালোচনা	২৮৯
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	২৯৩
	বিবিধ সংবাদ	২৯৬
