লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	৩৭৭
	কথাপ্রসঙ্গে	৩৭৮
স্বামী শুদ্ধানন্দ	অদ্বৈতবাদ ও পূজা-অর্চ্চা	৩৮০
স্বামী বীরেশ্বরানন্দ	জাগ্রত ভারত	৩৮১
স্বামী হিরণ্ময়ানন্দ	বুদ্ধ ও বিবেকানন্দ	৩৮৫
স্বামী বিশ্বাশ্র্যানন্দ	স্বামী বিজ্ঞানানন্দজীর স্মৃতি	৩৯১
ডক্টর রমা চৌধুরী	'তৃতীয় স্বপ্ন'	৪০২
দিলীপকুমার রায়	মহাসন্ত ও বাঁশি	৪০৬
ডক্টর প্রণবরঞ্জন ঘোষ	দুয়ারে কর্ণিকার	৪০৮
শ্রীমতী জ্যোতির্ময়ী দেবী	দ-দ-দ	৪১০
ডক্টর জলধিকুমার সরকার	শ্রীশ্রীমার শাশ্বত অভয়-আশ্বাস	৪১১
ডক্টর আমিতাভ মুখোপাধ্যায়	দারা শুকো--রাজনীতিবিদ্‌ ও দার্শনিক	৪১৪
অধ্যাপক শ্রীবিধুভূষণ ভট্টাচার্য	সাংখ্যমতে সৎপদার্থের স্বরূপ	৪১৯
শ্রীতাপসকুমার ভট্টাচার্য	রামকৃষ্ণ-বিবেকানন্দ-সাহিত্য সম্মেলন (১৯৮১)	৪২৩
অধ্যাপক শ্রীবিশ্বনাথ চট্টোপাধ্যায়	শিক্ষা ঃ সমস্যা ও সমাধান
অধ্যাপক শ্রীপ্রণয়বল্লভ সেন	পত্রাবলী ও নানা রূপের বিবেকানন্দ	৪৩৪
অধ্যাপক শ্রীপ্রেমবল্লভ সেন	স্বামীজীর সমন্বয়বাণী	৪৩৯
ডক্টর বিষ্ণুপদ পাণ্ডা	লীলাময়ের লীলা	৪৪৪
শ্রীঅমিয়কুমার বন্দোপাধ্যায়	স্বদেশদর্শন	৪৪৮
স্বামী শ্রদ্ধানন্দ	মন্ত্র-ন্যাস	৪৫১
ডক্টর অনিলেন্দু চক্রবর্তী	শ্রীরামকৃষ্ণ ও বিবেকানন্দের বাণী ও রচনায় সাহত্য-সৌদ্দর্য্য	৪৫৬
	সমালোচনা	৪৭০
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	৪৭১
	বিবিধ সংবাদ	৪৭১
