লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	১১৩
	কথাপ্রসঙ্গে	১১৪
সমাপ্তি-ভাষণ-স্বামী বীরেশ্বরানন্দ	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন মহাসম্মেলন (১৯৮০)	১২৫
স্বামী ভুতেশানন্দ	শ্রীশ্রীমায়ের কথা	১২৯
ডক্টর রমা চৌধুরী	দশ বেদান্ত-সম্প্রদায়	১৩১
ডক্টর জলধিকুমার সরকার	'শ্রীশ্রীমায়ের কথা'য় শ্রীরামকৃষ্ণবাণী	১৩৫
অধ্যাপক শ্রীনলিনীরঞ্জন চট্টোপাধ্যায়	বাংলা নাট্যসাহিত্যে রামকৃষ্ণ-বিবেকানন্দ-ভাবধারা	১৩৭
ডক্টর বন্দিতা ভট্টাচার্য	ভারতীয় আধ্যাত্মিক ও সামাজিক জীবনে শ্রীশ্রীমায়ের জীবন ও বাণীর প্রভাব	১৪২
ব্রহ্মচারী নির্গুণচৈতন্য	ক্রুশবিদ্ধ বিবেকানন্দ	১৪৫
শ্রীরামকুমার ভট্টাচার্য	ফাল্গুনী শুক্লা দ্বিতীয়া	১৪৮
শ্রীদেবব্রত দাস	আজকের পরিপ্রেক্ষিতে শ্রীরামকৃষ্ণ	১৪৯
শ্রীশুভেন্দুমোহন ঘোষ	গ্রন্থ ও গ্রন্থাগার	১৫২
	সমালোচনা	১৫৪
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	১৫৪
	শ্রীশ্রীমায়ের বাড়ীর সংবাদ	১৫৫
	বিবিধ সংবাদ	১৫৯
