লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	৫৭
	কথাপ্রসঙ্গে	৫৮
স্বামী ভুতেশানন্দ	শ্রীশ্রীমায়ের কথা	৬৪
ডক্টর রমা চৌধুরী	দশ বেদান্ত-সম্প্রদায়	৬৫
স্বামী প্রভানন্দ	কাশীপুরে শ্রীরামকৃষ্ণ	৬৮
ডক্টর উজ্জ্বল্কুমার মজুমদার	রামমোহনের ব্যক্তিত্ব ‌‍ঃ সাংবাদিক ও লেখক	৭১
অধ্যাপক শ্রীপ্রিয়দর্শন সেনশর্মা	লোকগুরু শ্রীরামকৃষ্ণ	৭৪
ডক্টর বন্দিতা ভট্টাচার্য	ভারতীয় আধ্যাত্মিক ও সামাজিক জীবনে শ্রীশ্রীমায়ের জীবন ও বাণীর প্রভাব	৭৭
শ্রীদেবব্রত দাস	আজকের পরিপ্রেক্ষিতে শ্রীরামকৃষ্ণ	৭৮
শ্রীশুভেন্দুমোহন ঘোষ	গ্রন্থ ও গ্রন্থাগার	৮১
ব্রহ্মচারী নির্গুণচৈতন্য	ক্রুশবিদ্ধ বিবেকানন্দ	৮৩
অধ্যাপক শ্রীনলিনীরঞ্জন চট্টোপাধ্যায়	বাংলা নাট্যসাহিত্যে রামকৃষ্ণ-বিবেকানান্দ-ভাবধারা	৮৬
শ্রীমতী সুনন্দা ঘোষ	মহাভুত মহাতীর্থ	৯১
শ্রীপরিমলকান্তি দাস	ভাগ্যবান নটবর পাঁজা	৯৫
শ্রীরামকুমার ভট্টাচার্য	ফাল্গুনী শুক্লা দ্বিতীয়া	৯৯
	সমালোচনা	১০০
	প্রসঙ্গতঃ	১০২
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	১০২
	শ্রীশ্রীমায়ের বাড়ীর সংবাদ	১০৫
	বিবিধ সংবাদ	১০৯
