লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	২০৯
	কথাপ্রসঙ্গে	২১০
স্বামী দেবানন্দ	ভগবৎপ্রসঙ্গ	২১৯
স্বামী বুধানন্দ	শ্রীরামকৃষ্ণ-বিভাসিতা মা সারদা	২২৩
শ্রীশান্তশীল দাশ	দুখের সাথী	২২৮
ডক্টর গোপেন্দু মুখোপাধ্যায়	চেতনায় তুমি	২২৮
শ্রীধ্রুবকুমার মুখোপাধ্যায়	চির-অনুরাগী	২২৯
শ্রীব্রজদুলাল দে	মা সারদামণি	২২৯
ডক্টর রমা চৌধুরী	দশ বেদান্ত-সম্প্রদায়	২৩০
ডক্টর বেলা দত্তগুপ্ত	সমাজবিজ্ঞানীর দৃষ্টিতে উল্কি	২৩৩
শ্রীমতী সুনন্দা ঘোষ	মহাভুত মহাতীর্থ	২৩৮
স্বামী পুরাণানন্দ	বেদান্তপ্রচারে 'রামচরিতমানস'	২৪২
	সমালোচনা	২৪৬
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	২৪৮
	শ্রীশ্রীমায়ের বাড়ীর সংবাদ	২৫১
	বিবিধ সংবাদ	২৫৫
