লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	১
	কথাপ্রসঙ্গে	২
উদ্বোধনী ভাষণ—স্বামী বীরেশ্বরানন্দ	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন মহাসম্মেলন (১৯৮০)	১০
স্বামী ভুতেশানন্দ	শ্রীশ্রীমায়ের কথা	১৪
স্বাগত-ভাষণ-স্বামী হিরণ্ময়ানন্দ	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন মহাসম্মেলন (১৯৮০)	১৬
ডক্টর রমা চৌধুরী	দশ বেদান্ত-সম্প্রদায়	২১
স্বামী প্রভানন্দ	কাশীপুরে শ্রীরামকৃষ্ণ	২৪
স্বামিজীবানন্দেন বিরচিতম	বিবেকানন্দদশকম্‌	২৭
ডক্টর বন্দিতা ভট্টাচার্য	ভারতীয় আধ্যাত্মিক ও সামাজিক জীবনে শ্রীশ্রীমায়ের জীবন ও বাণীর প্রভাব	২৮
ডক্টর উজ্জ্বল্কুমার মজুমদার	রামমোহনের ব্যক্তিত্ব ‌‍ঃ সাংবাদিক ও লেখক	৩১
ডক্টর জলধিকুমার সরকার	সেবাপ্রসঙ্গে স্বামী বিবেকানন্দ	৩৪
ব্রহ্মচারী নির্গুণচৈতন্য	ক্রুশবিদ্ধ বিবেকানন্দ	৩৯
শ্রীমতী সুনন্দা ঘোষ	মহাভুত মহাতীর্থ	৪০
শ্রীমতী জ্যোতির্ময়ী দেবী	নামে ও প্রণামে	৪৫
ডক্টর আনিলেন্দু চক্রবর্তী	আমি ও সে	৪৫
ডক্টর তারকনাথ ঘোষ	যীশুজননী মেরী	৪৬
	সমালোচনা	৪৮
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	৪৯
	শ্রীশ্রীমায়ের বাড়ীর সংবাদ	৫০
	বিবিধ সংবাদ	৫৫
	প্রসঙ্গতঃ	৫৬
