লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	৫৬৯
	কথাপ্রসঙ্গে	৫৭০
স্বামী বুধানন্দ	শ্রীরামকৃষ্ণ-বিভাসিতা মা সারদা	৫৭২
'বল্লভ'	মাতৃচরণে	৫৭৫
শ্রীঅনিলেন্দু ভট্টাচার্য্য	দৃশ্য ও দৃশ্যান্তর	৫৭৫
শ্রীশেফালিকা দেবী	পদ্মবিনোদের উক্তি	৫৭৬
শ্রীপঞ্চানন ঘোষ	প্রকৃতি ও পরিবেশ	৫৭৬
স্বামী দেবানন্দ	কনখলের স্মৃতি	৫৭৭
সঙ্কলক ঃ ডক্টর জলধিকুমার সরকার	'শ্রীশ্রীমায়ের কথা'য় শ্রীরামকৃষ্ণ-প্রসঙ্গ	৫৮৩
স্বামী প্রমেয়ানন্দ	পূজা-বিজ্ঞান	৫৮৫
ডক্টর রমা চৌধুরী	দশ বেদান্ত-সম্প্রদায়	৫৯৩
শ্রীশিবপ্রসাদ চট্টোপাধ্যায়	সংঘজননী	৫৯৭
শ্রীশংকর ঘোষ	হাসির ভগীরথ পরশুরাম	৫৯৯
	সমালোচনা	৬০২
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	৬০৫
	বিবিধ সংবাদ	৬০৭
	রামকৃষ্ণ মিশন আবেদন	৬০৮
