লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	১
	কথাপ্রসঙ্গে	২
স্বামী বীরেশ্বরানন্দ	শিক্ষাক্ষেত্রে রামকৃষ্ণ মিশনের ভূমিকা	৪
শ্রীনিমাই মুখোপাধ্যায়	সুর্য-প্রণাম	৮
স্বামী বুধানন্দ	শ্রীরামকৃষ্ণ-বিভাসিতা মা সারদা	৯
ডক্টর রমা চৌধুরী	দশ বেদান্ত-সম্প্রদায়	১৫
ডক্টর রমেন্দ্রনারায়ণ সরকার	স্বামী বিবেকানন্দের পত্রসাহিত্য	১৯
অধ্যাপক প্রণয়বল্লভ সেন	প্রাচ্য ও পাশ্চাত্য সংস্কৃতির সমন্বয়ে স্বামী বিবেকানন্দ	২৮
	সমালোচনা	৩৬
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	৩৭
	বিবিধ সংবাদ	৩৯
	দশ বৎসর বাদে	১০৫
	মাদ্রাজ মহোৎসব	১০৮
	নিউইয়র্ক সংবাদ	১০৯
স্বামী সচ্চিদানন্দ প্রেরিত	মুর্শিদাবাদ জেলা অন্তঃপাতী ভাবদাগ্রামস্থ অনাথ-আশ্রম	১১০
	ঘোগা বন্যা	১১২
