লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	৪৯
	কথাপ্রসঙ্গে	৫০
স্বামী লোকেশ্বরানন্দ	পাশ্চাত্য দেশে কিছুদিন	৫২
শ্রীবিধুভূষণভট্টাচার্যবিরচিতম্‌	রামকৃষ্ণবন্দনাপঞ্চকম্‌	৫৬
স্বামী বুধানন্দ	শ্রীরামকৃষ্ণ-বিভাসিতা মা সারদা	৫৭
ডক্টর রমা চৌধুরী	দশ বেদান্ত-সম্প্রদায়	৬০
সঙ্কলক ঃ ডক্টর জলধিকুমার সরকার	৬৩
শ্রীমতী মুক্তি কর	ইঙ্কাদের দেশ পেরুতে সাতদিন	৬৫
'বল্লভ'	অপার মহিমা	৭২
শ্রীমুক্তিপদ বন্দ্যোপাধ্যায়	'যমেবৈষ বৃণুতে'	৭২
শ্রীশৈলেন্দ্রকুমার গঙ্গোপাধ্যায়	শ্রীম-স্মৃতি	৭৩
শ্রীশশাঙ্কশেখর সেনগুপ্ত	শ্রীরামকৃষ্ণের উপমা	৭৫
	সমালোচনা	৭৯
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	৮২
	বিবিধ সংবাদ	৮৬
কিসেনগড়	রাজপুতানা-অনাথালয়	১১৩
	প্লেগ-নিবারণ কার্য্য	১১৪
	মুর্শিদাবাদ অনাথ আশ্রম	১১৬
পণ্ডিতবর প্রমথনাথ তর্কভূষণ	বেদান্ত-সুত্রের রামানুজভাষ্যানুবাদ	১১৬
শ্রীম-কথিত	শ্রীশ্রীরামকৃষ্ণকথামৃত	১১৭
