লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	৯৭
	কথাপ্রসঙ্গে	৯৮
স্বামী বীরেশ্বরানন্দ	শিক্ষার মূল উদ্দেশ্য	১০০
	স্বামী অখণ্ডানন্দের অপ্রকাশিত পত্র	১০২
শ্রীমতী উষারাণী বসু	স্মৃতিকণা	১০৪
স্বামী বুধানন্দ	শ্রীরামকৃষ্ণ-বিভাসিতা মা সারদা	১০৫
সঙ্কলক ঃ ব্রহ্মচারী নির্গুণচৈতন্য	খোকা মাহারাজের স্মৃতিকথা	১০৯
ডঃ সচ্চিদানন্দ ধর	সারদা-সরস্বতী	১১২
শ্রীধ্রুবকুমার মুখোপাধ্যায়	চির জ্যোতির্ময়	১১২
স্বামী চেতনানন্দ	'কথামৃতে'র জন্মশতাব্দী	১১৩
স্বামী লোকেশ্বরানন্দ	পাশ্চাত্য দেশে কিছুদিন	১২১
ডক্টর ধ্রুব মার্জিত	আলোকের সাহাজ্যে জল হ'তে জ্বালানী	১২৭
	সমালোচনা	১২৯
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	১৩২
	বিবিধ সংবাদ	১৩৫
	শ্রীশ্রীরামকৃষ্ণকথামৃত	১২১
স্বামী বিবেকানন্দ	বর্ত্তমান ভারত	১২৬
স্বামী রামকৃষ্ণানন্দ লিখিত	উদ্যমশীল মার্কিণ যুবক	১২৮
