লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	১৯৩
	কথাপ্রসঙ্গে	১৯৪
'বৈভব'	যায়	১৯৬
স্বামী দেবানন্দ	সাধকের চিন্তাধারা	১৯৭
	স্বামী শিবানন্দের অপ্রকাশিত পত্র	১৯৯
স্বামী লোকেশ্বরানন্দ	পাশ্চাত্য দেশে কিছুদিন	২০১
শ্রীসুশীল্কুমার সিংহ	হে ভারত ভুলিও না	২০৭
ডক্টর রমা চৌধুরী	দশ বেদান্ত-সম্প্রদায়	২০৮
শ্রীনীলদাকান্ত লাহিড়ী চৌধুরী	নব ভগীরথ	২১২
অধ্যাপিকা সান্ত্বনা দাশগুপ্ত	শ্রীশ্রীমায়ের বাণী ঃ সামাজিক ও সাহিত্যিক দৃষ্টি থেকে	২১৩
স্বামী বুধানন্দ	শ্রীরামকৃষ্ণ-বিভাসিতা মা সারদা	২১৯
শ্রীমোক্ষদারঞ্জন সেনগুপ্ত	রাতের পৃথিবী	২২৪
	সমালোচনা	২২৫
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	২২৯
	বিবিধ সংবাদ	২৩১
	ঈশ্বর কি কেবল দয়াময়?	১৩৭
স্বামী বিবেকানন্দ	বর্ত্তমান ভারত	১৪৪
