লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	৩৩৭
	কথাপ্রসঙ্গে	৩৩৮
স্বামী অন্নদানন্দ সংকলিত	স্বামী অখণ্ডানন্দের স্মৃতিকণা	৩৪০
স্বামী গীতানন্দ	জগন্নাথের স্বরূপ-সন্ধানে	৩৪২
শ্রীশচীন্দ্রনাথ দরিপা	বিবেকানন্দ	৩৪৭
স্বামী লোকেশ্বরানন্দ	পাশ্চাত্য দেশে কিছুদিন	৩৪৮
ডক্টর রমা চৌধুরী	দশ বেদান্ত-সম্প্রদায়	৩৫৩
স্বামী বুধানন্দ	শ্রীরামকৃষ্ণ-বিভাসিতা মা সারদা	৩৫৭
ডক্টর প্রণবরঞ্জন ঘোষ	বিদ্যাসাগর ও শ্রীরামকৃষ্ণ-সাক্ষাৎকার	৩৬১
শ্রীমতী অভয়া দাশগুপ্ত	'কথামৃতে'র দর্পণে শ্রীরামকৃষ্ণ	৩৬৫
ব্রহ্মচারিণী অজিতা	রথযাত্রা	৩৭০
	সমালোচনা	৩৭১
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	৩৭৩
	বিবিধ সংবাদ	৩৭৬
বাবু মনোমোহন গঙ্গোপাধ্যায় লিখিত	জ্বলন	১৬১
স্বামী শুদ্ধানন্দ লিখিত	ভালবাসা	১৬৪
	নিউ ইয়র্ক	১৬৬
