লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	৩৮৫
	কথাপ্রসঙ্গে	৩৮৬
'বৈভব'	ডাক	৩৮৮
স্বামী বীরেশ্বরানন্দ	সন্ন্যাসাশ্রম ও বর্ত্মান যুগে সমাজের প্রতি সন্ন্যাসীর কর্তব্য	৩৮৯
স্বামী শ্রদ্ধানন্দ	সতী ও উমা	৩৯৩
শ্রীদীনেশচন্দ্র শাস্ত্রী	শিব-গৌরী	৩৯৭
স্বামী প্রজ্ঞানানন্দ	শ্রীরামকৃষ্ণ-বিবেকানন্দের আলোকে সঙ্গীত	৩৯৮
অধ্যাপক শ্রীশঙ্করীপ্রসাদ বসু	'বিবেকানন্দ বোর্ডিং হউসে' নিবেদিতা ঃ একটি স্মৃতিকথা	৪০৩
ডক্টর অনিলেন্দু চক্রবর্তী	এক ও বহু  ঃ বিরোধ ও মিলন	৪১২
শ্রীশান্তশীল দাশ	মায়ের কাছে	৪১২
ডক্টর প্রণবরঞ্জন ঘোষ	শ্রীরামকৃষ্ণ-সাহিত্যে হাস্যরস ঃ বিদ্যাসাগর ও শ্রীরামকৃষ্ণ	৪১৩
স্বামী চেতনানন্দ	কথামৃত-প্রবেশ	৪১৮
অধ্যাপক শ্রীনলিনীরঞ্জন চট্টোপাধ্যায়	শ্রীমা ও গিরিশচন্দ্র	৪২৬
অধ্যাপক শ্রীশিবশম্ভু সরকার	দৈবজ্ঞ	৪৪০
অধ্যাপক শ্রীবিধুভূষণ ভট্টাচার্য	অদ্বৈতবেদান্তমতে সৎপদার্থের স্বরূপ	৪৪১
অধ্যাপক শ্রীপ্রেমবল্লভ সেন	স্বামী বিবেকানন্দ ও হিন্দুধর্ম	৪৪৫
ডক্টর বিষ্ণুপদ পাণ্ডা	ওড়িয়া সাহিত্যে রামায়ণের প্রভাব	৪৫১
ডক্টর তারকনাথ ঘোষ	পূজাঙ্গনে শ্রীরামকৃষ্ণ	৪৫৯
শ্রীজীবন মুখোপাধ্যায়	'আনন্দমঠ'-এর মাতৃমুর্তি	৪৬৫
স্বামী জীবানন্দবিরচিতম	শ্রীশ্রীদুর্গাস্তোত্রম	৪৭৩
স্বামী অন্নদানন্দ সংকলিত	স্বামী অখণ্ডানন্দের স্মৃতিকণা	৪৭৪
	সমালোচনা	৪৭৭
	রামকৃষ্ণ মঠ ও রামকৃষ্ণ মিশন সংবাদ	৪৭৯
	বিবিধ সংবাদ	৪৮০
